02-02-2020 15:51:39.728,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4, 347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.68  347.68  347.68  347.68  347.00  347.00  347.00  347.00  347.88  347.88  347.88  347.88  347.00  347.00  347.00  347.00  347.78  347.78  347.78  347.78  347.68  347.68  347.68  347.68  348.18  348.18  348.18  348.18  347.09  347.09  347.09  347.09  347.68  347.68  347.68  347.68  347.78  347.78  347.78  347.78,COM4 - 9600/8/N/1/N,1"
02-02-2020 15:52:08.197,4583,RECV,3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30350D0A3331332E30
02-02-2020 15:52:08.259,4584,RECV,350D0A333136
02-02-2020 15:52:08.322,4585,RECV,0A3331372E31370D0A3331372E31370D0A3331372E31370D0A333136
02-02-2020 15:52:08.384,4586,RECV,2E39370D0A3331362E39370D0A3331362E39370D0A3331362E39370D0A3331362E38370D0A3331362E38370D0A3331362E38370D0A3331362E38370D0A33
02-02-2020 15:52:08.447,4587,RECV,31362E32350D0A3331362E32350D0A3331362E32350D0A3331362E32350D0A3331362E36360D0A3331362E36360D0A333136
02-02-2020 15:52:08.525,4588,RECV,2E36360D0A3331362E36360D0A3331362E33360D0A3331362E33360D0A3331362E33360D0A3331362E33360D0A3331
02-02-2020 15:52:08.572,4589,RECV,362E31350D0A3331362E31350D
02-02-2020 15:52:08.634,4590,RECV,2E30360D0A3331362E30360D0A3331362E30360D0A3331362E30
02-02-2020 15:52:08.697,4591,RECV,360D0A3331362E30360D0A3331352E30360D0A3331362E31300D0A3331362E31300D0A3331362E31300D0A3331352E38360D0A3331362E30360D0A3331
02-02-2020 15:52:08.759,4592,RECV,362E30360D0A3331362E30360D0A3331362E36370D0A3331362E36370D0A3331362E36370D0A3331362E36370D0A3331372E30
02-02-2020 15:52:08.822,4593,RECV,390D0A3331372E30390D0A3331372E30390D0A3331372E30390D0A3331372E31340D0A3331372E31340D0A3331372E31340D0A3331372E31340D0A333137
02-02-2020 15:52:08.884,4594,RECV,2E37370D0A3331372E37370D0A3331372E37370D0A3331372E37370D0A3331382E34300D0A3331382E34300D0A3331382E34300D0A3331382E34300D0A
02-02-2020 15:52:08.947,4595,RECV,3331382E38300D0A3331382E38300D0A3331382E38300D0A3331382E38300D0A3331392E32360D0A3331392E32360D0A3331392E32360D0A
02-02-2020 15:52:09.009,4596,RECV,3331392E32360D0A3331392E38380D0A3331392E38380D0A3331392E38380D0A3331392E38380D0A3332302E34310D0A3332302E34310D0A3332302E3431
02-02-2020 15:52:09.087,4597,RECV,0D0A3332302E34310D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A333231
02-02-2020 15:52:09.134,4598,RECV,2E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332
02-02-2020 15:52:09.197,4599,RECV,312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D
02-02-2020 15:52:09.259,4600,RECV,0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332312E31300D0A3332322E34300D0A3332322E34300D0A3332322E34300D0A3332322E34
02-02-2020 15:52:09.322,4601,RECV,300D0A3332322E31300D0A3332322E31300D0A3332322E31300D0A3332322E31300D0A3332312E35370D0A3332312E35370D0A3332312E35370D0A3332
02-02-2020 15:52:09.384,4602,RECV,312E35370D0A3332312E30330D0A3332312E30330D0A3332312E30330D0A3332312E30330D0A3332302E37320D0A3332302E37320D0A3332302E37320D0A
02-02-2020 15:52:09.447,4603,RECV,3332302E37320D0A3332302E34310D0A3332302E34310D0A3332302E34310D0A3332302E34310D0A3331392E37310D0A3331392E37310D0A3331392E37
02-02-2020 15:52:09.509,4604,RECV,310D0A3331392E37310D0A3332302E31380D0A3332302E31380D0A3332302E31380D0A3332302E31380D0A3331392E36330D0A3331392E36330D0A333139
02-02-2020 15:52:09.572,4605,RECV,2E36330D0A3331392E36330D0A3332302E30320D0A3332302E30320D0A3332302E30320D0A3332302E30320D0A3331392E33390D0A3331392E33390D0A
02-02-2020 15:52:09.650,4606,RECV,3331392E33390D0A3331392E33390D0A3331392E33390D0A3331392E33390D0A3331392E33390D0A3331392E33390D0A3331392E33390D0A3331392E3339
02-02-2020 15:52:09.697,4607,RECV,0D0A3331392E33390D0A3331392E33390D0A3331392E33390D0A3331392E33390D0A3331392E33390D0A3332362E38300D0A3332372E35300D0A333237
02-02-2020 15:52:09.759,4608,RECV,2E35300D0A3332372E35300D0A3332312E31360D0A3331392E36310D0A3331392E36310D0A3331392E36310D0A33
02-02-2020 15:52:09.822,4609,RECV,31392E36390D0A3331392E36390D0A3331392E36390D0A3331392E36390D0A3331392E36390D0A3331392E36390D0A3331392E36390D0A3331392E36390D
